,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
192,ROBIN HANDICAP,BLOTTING PAPER,R Gibson,C L Chau,126.0,126.0,8.399999618530273,70.74387357658102,7
193,ROBIN HANDICAP,SMART HUNTER,D J Whyte,T Piccone,117.0,117.0,99.0,70.87204067907777,8
194,ROBIN HANDICAP,GOLDIE FLANKER,K L Man,M Chadwick,124.0,124.0,23.0,70.92688231566298,9
195,ROBIN HANDICAP,STRIKING MR C,T P Yung,R Maia,130.0,130.0,32.0,70.92688231566298,10
196,ROBIN HANDICAP,SEVEN HEAVENS,C Fownes,B Shinn,130.0,130.0,4.900000095367432,71.09148163328611,11
197,ROBIN HANDICAP,DEMONS ROCK,D J Hall,H T Mo,120.0,120.0,24.0,71.34833771591198,12
198,TROPICBIRD HANDICAP,GENERAL DINO,R Gibson,J Moreira,119.0,119.0,5.0,103.70565588210624,1
199,TROPICBIRD HANDICAP,FAIRY FLOSS,P O'Sullivan,Z Purton,122.0,122.0,2.4000000953674316,103.81188502669437,2
200,TROPICBIRD HANDICAP,MISTER MONTE,C W Chang,C L Chau,125.0,125.0,7.900000095367432,103.85190280155564,3
201,TROPICBIRD HANDICAP,PRECISION DREAM,T P Yung,C Schofield,132.0,132.0,54.0,103.88967762477643,4
202,TROPICBIRD HANDICAP,GREAT SMART,K L Man,M Chadwick,128.0,128.0,23.0,103.88967762477643,5
203,TROPICBIRD HANDICAP,DRAGON COMMANDER,Y S Tsui,K C Leung,131.0,131.0,12.0,103.88967762477643,6
204,TROPICBIRD HANDICAP,REGENCY GEM,W Y So,K Teetan,130.0,130.0,17.0,103.88967762477643,7
205,TROPICBIRD HANDICAP,PROUD SKY,L Ho,M L Yeung,113.0,113.0,26.0,103.97962049450398,8
206,TROPICBIRD HANDICAP,WEALTHY EMPLOYEE,K H Ting,R Maia,133.0,133.0,45.0,103.98957367807748,9
207,TROPICBIRD HANDICAP,REEVE'S MUNTJAC,C H Yip,M F Poon,114.0,114.0,62.0,104.0037536349263,10
208,TROPICBIRD HANDICAP,GOLDEN GENERAL,D E Ferraris,H N Wong,112.0,112.0,41.0,104.02058838469351,11
209,TROPICBIRD HANDICAP,SKY GEM,C Fownes,C Y Ho,126.0,126.0,10.0,104.07616791680537,12
210,TROPICBIRD HANDICAP,CIRCUIT NUMBER ONE,A S Cruz,N Callan,129.0,129.0,16.0,104.14748025219886,13
211,TROPICBIRD HANDICAP,STAR WIN,D J Whyte,T Piccone,119.0,119.0,140.0,104.5084675153693,14
212,SHAU KEI WAN HANDICAP,FANTASTIC WAY,J Size,J Moreira,125.0,125.0,1.399999976158142,70.98037394396835,1
213,SHAU KEI WAN HANDICAP,FIRE BALL,C H Yip,V Borges,116.0,116.0,7.199999809265137,72.28757954146484,2
214,SHAU KEI WAN HANDICAP,VUKAN,P O'Sullivan,K C Leung,125.0,125.0,15.0,72.85263216555452,3
215,SHAU KEI WAN HANDICAP,CHIRON,D A Hayes,C Soumillon,125.0,125.0,21.0,72.98714925666441,4
216,SHAU KEI WAN HANDICAP,STRATHMARTINE,A T Millard,B Shinn,125.0,125.0,282.0,73.36695041829232,5
217,SHAU KEI WAN HANDICAP,GLADSOME RYDER,R Gibson,N Callan,125.0,125.0,285.0,73.43457534610383,6
218,SHAU KEI WAN HANDICAP,SIMPLY SPECTACULAR,C W Chang,Z Purton,130.0,130.0,7.699999809265137,73.75649697336497,7
219,SHAU KEI WAN HANDICAP,VAST STARLIGHT,W Y So,T Piccone,125.0,125.0,110.0,74.63317993243318,8
220,SHAU KEI WAN HANDICAP,FLYING ON THE TURF,K H Ting,M L Yeung,133.0,133.0,61.0,74.73307598573425,9
221,SHAU KEI WAN HANDICAP,XPONENTIAL,D J Whyte,C L Chau,125.0,125.0,21.0,74.73905063848358,10
222,SHAU KEI WAN HANDICAP,COBY OPPA,D J Hall,H N Wong,122.0,122.0,49.0,74.84884084684118,11
223,SHAU KEI WAN HANDICAP,THE SUBMARINE,Y S Tsui,H T Mo,122.0,122.0,312.0,75.07150259286524,12
224,SHAU KEI WAN HANDICAP,TOP ACCOLADE,C S Shum,C Y Ho,120.0,120.0,249.0,75.42404268734322,13
225,SHAU KEI WAN HANDICAP,HAPPY WARRIOR,C Fownes,K H Chan,119.0,119.0,195.0,75.7759337723259,14
