Horse_ID,Horse_Name,Country,Age,URL,URL_Country,URL_bn,Foal_Date,success_flag
6995,CROWN'S GIFT,AUS,,https://www.racenet.com.au/profiles/horse/crowns-gift,https://www.racenet.com.au/profiles/horse/crowns-gift-aus,https://www.breednet.com.au/horse/crown's-gift,,0
6996,BLACK AVALANCHE,USA,,https://www.racenet.com.au/profiles/horse/black-avalanche,https://www.racenet.com.au/profiles/horse/black-avalanche-usa,https://www.breednet.com.au/horse/black-avalanche,,0
6997,ANALYST,AUS,,https://www.racenet.com.au/profiles/horse/analyst,https://www.racenet.com.au/profiles/horse/analyst-aus,https://www.breednet.com.au/horse/analyst,20/09/2015,1
6998,WARRSAN,IRE,,https://www.racenet.com.au/profiles/horse/warrsan,https://www.racenet.com.au/profiles/horse/warrsan-ire,https://www.breednet.com.au/horse/warrsan,,0
6999,VALLEE ENCHANTEE,IRE,,https://www.racenet.com.au/profiles/horse/vallee-enchantee,https://www.racenet.com.au/profiles/horse/vallee-enchantee-ire,https://www.breednet.com.au/horse/vallee-enchantee,,0
7000,SABIANGO,GER,,https://www.racenet.com.au/profiles/horse/sabiango,https://www.racenet.com.au/profiles/horse/sabiango-ger,https://www.breednet.com.au/horse/sabiango,,0
7001,MAKTUB,ITY,,https://www.racenet.com.au/profiles/horse/maktub,https://www.racenet.com.au/profiles/horse/maktub-ity,https://www.breednet.com.au/horse/maktub,,0
7002,KALABAR,GB,,https://www.racenet.com.au/profiles/horse/kalabar,https://www.racenet.com.au/profiles/horse/kalabar-gb,https://www.breednet.com.au/horse/kalabar,,0
7003,IMPERIAL DANCER,GB,,https://www.racenet.com.au/profiles/horse/imperial-dancer,https://www.racenet.com.au/profiles/horse/imperial-dancer-gb,https://www.breednet.com.au/horse/imperial-dancer,26/09/2012,1
7004,FIELDS OF OMAGH,AUS,,https://www.racenet.com.au/profiles/horse/fields-of-omagh,https://www.racenet.com.au/profiles/horse/fields-of-omagh-aus,https://www.breednet.com.au/horse/fields-of-omagh,,0
7005,FAIR MIX,IRE,,https://www.racenet.com.au/profiles/horse/fair-mix,https://www.racenet.com.au/profiles/horse/fair-mix-ire,https://www.breednet.com.au/horse/fair-mix,,0
7006,WEIGHTLESS,GB,,https://www.racenet.com.au/profiles/horse/weightless,https://www.racenet.com.au/profiles/horse/weightless-gb,https://www.breednet.com.au/horse/weightless,,0
7007,TIGERTAIL,FR,,https://www.racenet.com.au/profiles/horse/tigertail,https://www.racenet.com.au/profiles/horse/tigertail-fr,https://www.breednet.com.au/horse/tigertail,,0
7008,RAKTI,GB,,https://www.racenet.com.au/profiles/horse/rakti,https://www.racenet.com.au/profiles/horse/rakti-gb,https://www.breednet.com.au/horse/rakti,,0
7009,MAGNATEN,USA,,https://www.racenet.com.au/profiles/horse/magnaten,https://www.racenet.com.au/profiles/horse/magnaten-usa,https://www.breednet.com.au/horse/magnaten,,0
7010,FALBRAV,IRE,,https://www.racenet.com.au/profiles/horse/falbrav,https://www.racenet.com.au/profiles/horse/falbrav-ire,https://www.breednet.com.au/horse/falbrav,,0
7011,DENON,USA,,https://www.racenet.com.au/profiles/horse/denon,https://www.racenet.com.au/profiles/horse/denon-usa,https://www.breednet.com.au/horse/denon,,0
7012,BRIGHT SKY,IRE,,https://www.racenet.com.au/profiles/horse/bright-sky,https://www.racenet.com.au/profiles/horse/bright-sky-ire,https://www.breednet.com.au/horse/bright-sky,,0
7013,TELEGNOSIS,JPN,,https://www.racenet.com.au/profiles/horse/telegnosis,https://www.racenet.com.au/profiles/horse/telegnosis-jpn,https://www.breednet.com.au/horse/telegnosis,,0
7014,SPECIAL KALDOUN,IRE,,https://www.racenet.com.au/profiles/horse/special-kaldoun,https://www.racenet.com.au/profiles/horse/special-kaldoun-ire,https://www.breednet.com.au/horse/special-kaldoun,,0
7015,PASSING GLANCE,GB,,https://www.racenet.com.au/profiles/horse/passing-glance,https://www.racenet.com.au/profiles/horse/passing-glance-gb,https://www.breednet.com.au/horse/passing-glance,16/09/2014,1
7016,NINETYFIVE EMPEROR,AUS,,https://www.racenet.com.au/profiles/horse/ninetyfive-emperor,https://www.racenet.com.au/profiles/horse/ninetyfive-emperor-aus,https://www.breednet.com.au/horse/ninetyfive-emperor,,0
7017,MISTER ACPEN,CHI,,https://www.racenet.com.au/profiles/horse/mister-acpen,https://www.racenet.com.au/profiles/horse/mister-acpen-chi,https://www.breednet.com.au/horse/mister-acpen,,0
7018,LOHENGRIN,JPN,,https://www.racenet.com.au/profiles/horse/lohengrin,https://www.racenet.com.au/profiles/horse/lohengrin-jpn,https://www.breednet.com.au/horse/lohengrin,23/09/2007,1
7019,FIREBREAK,GB,,https://www.racenet.com.au/profiles/horse/firebreak,https://www.racenet.com.au/profiles/horse/firebreak-gb,https://www.breednet.com.au/horse/firebreak,,0
7020,ADMIRE MAX,JPN,,https://www.racenet.com.au/profiles/horse/admire-max,https://www.racenet.com.au/profiles/horse/admire-max-jpn,https://www.breednet.com.au/horse/admire-max,,0
7021,THE TATLING,IRE,,https://www.racenet.com.au/profiles/horse/the-tatling,https://www.racenet.com.au/profiles/horse/the-tatling-ire,https://www.breednet.com.au/horse/the-tatling,Invalid Date,0
7022,NATIONAL CURRENCY,SAF,,https://www.racenet.com.au/profiles/horse/national-currency,https://www.racenet.com.au/profiles/horse/national-currency-saf,https://www.breednet.com.au/horse/national-currency,,0
7023,INTO THE NIGHT,AUS,,https://www.racenet.com.au/profiles/horse/into-the-night,https://www.racenet.com.au/profiles/horse/into-the-night-aus,https://www.breednet.com.au/horse/into-the-night,10/10/2012,1
7024,DEPORTIVO,GB,,https://www.racenet.com.au/profiles/horse/deportivo,https://www.racenet.com.au/profiles/horse/deportivo-gb,https://www.breednet.com.au/horse/deportivo,,0
7025,DANTANA,AUS,,https://www.racenet.com.au/profiles/horse/dantana,https://www.racenet.com.au/profiles/horse/dantana-aus,https://www.breednet.com.au/horse/dantana,,0
7026,BOMBER BILL,AUS,,https://www.racenet.com.au/profiles/horse/bomber-bill,https://www.racenet.com.au/profiles/horse/bomber-bill-aus,https://www.breednet.com.au/horse/bomber-bill,,0
7027,ACCLAMATION GB,GB,,https://www.racenet.com.au/profiles/horse/acclamation-gb,https://www.racenet.com.au/profiles/horse/acclamation-gb-gb,https://www.breednet.com.au/horse/acclamation-gb,,0
7028,HEROIC ATTRIBUTE,NZ,,https://www.racenet.com.au/profiles/horse/heroic-attribute,https://www.racenet.com.au/profiles/horse/heroic-attribute-nz,https://www.breednet.com.au/horse/heroic-attribute,,0
7029,WYNDHAM PROFIT,AUS,,https://www.racenet.com.au/profiles/horse/wyndham-profit,https://www.racenet.com.au/profiles/horse/wyndham-profit-aus,https://www.breednet.com.au/horse/wyndham-profit,,0
7030,LIGHTNING STAR,AUS,,https://www.racenet.com.au/profiles/horse/lightning-star,https://www.racenet.com.au/profiles/horse/lightning-star-aus,https://www.breednet.com.au/horse/lightning-star,2/10/2015,1
7031,TOP BRASS,NZ,,https://www.racenet.com.au/profiles/horse/top-brass,https://www.racenet.com.au/profiles/horse/top-brass-nz,https://www.breednet.com.au/horse/top-brass,Invalid Date,0
7032,PIONERO,AUS,,https://www.racenet.com.au/profiles/horse/pionero,https://www.racenet.com.au/profiles/horse/pionero-aus,https://www.breednet.com.au/horse/pionero,,0
7033,THE VASE,NZ,,https://www.racenet.com.au/profiles/horse/the-vase,https://www.racenet.com.au/profiles/horse/the-vase-nz,https://www.breednet.com.au/horse/the-vase,,0
7034,ACCELERATION,NZ,,https://www.racenet.com.au/profiles/horse/acceleration,https://www.racenet.com.au/profiles/horse/acceleration-nz,https://www.breednet.com.au/horse/acceleration,Invalid Date,0
7035,SUMMERVILLE POWER,NZ,,https://www.racenet.com.au/profiles/horse/summerville-power,https://www.racenet.com.au/profiles/horse/summerville-power-nz,https://www.breednet.com.au/horse/summerville-power,Invalid Date,0
7036,LOTZATOW,NZ,,https://www.racenet.com.au/profiles/horse/lotzatow,https://www.racenet.com.au/profiles/horse/lotzatow-nz,https://www.breednet.com.au/horse/lotzatow,7/11/2001,1
7037,STRAWBERRY KISSES,NZ,,https://www.racenet.com.au/profiles/horse/strawberry-kisses,https://www.racenet.com.au/profiles/horse/strawberry-kisses-nz,https://www.breednet.com.au/horse/strawberry-kisses,,0
