Horse_ID,Horse_Name,Country,URL,URL_Country,Foal_Date,success_flag
130,GOLDEN DASH,AUS,https://www.racenet.com.au/profiles/horse/golden-dash,https://www.racenet.com.au/profiles/horse/golden-dash-aus,2/10/2014,1
131,GOODLUCK GOODLUCK,AUS,https://www.racenet.com.au/profiles/horse/goodluck-goodluck,https://www.racenet.com.au/profiles/horse/goodluck-goodluck-aus,23/10/2014,1
132,SHAMPORT,AUS,https://www.racenet.com.au/profiles/horse/shamport,https://www.racenet.com.au/profiles/horse/shamport-aus,4/9/2014,1
133,FLASH FAMOUS,AUS,https://www.racenet.com.au/profiles/horse/flash-famous,https://www.racenet.com.au/profiles/horse/flash-famous-aus,16/10/2014,1
134,ARDENODE,IRE,https://www.racenet.com.au/profiles/horse/ardenode,https://www.racenet.com.au/profiles/horse/ardenode-ire,28/03/2015,1
135,UNIVERSAL GO GO,NZ,https://www.racenet.com.au/profiles/horse/universal-go-go,https://www.racenet.com.au/profiles/horse/universal-go-go-nz,13/09/2014,1
136,EASY GO EASY WIN,NZ,https://www.racenet.com.au/profiles/horse/easy-go-easy-win,https://www.racenet.com.au/profiles/horse/easy-go-easy-win-nz,19/09/2014,1
137,PERFECT TO PLAY,IRE,https://www.racenet.com.au/profiles/horse/perfect-to-play,https://www.racenet.com.au/profiles/horse/perfect-to-play-ire,25/02/2014,1
138,SEVEN HEAVENS,GB,https://www.racenet.com.au/profiles/horse/seven-heavens,https://www.racenet.com.au/profiles/horse/seven-heavens-gb,21/05/2014,1
139,UGLY WARRIOR,NZ,https://www.racenet.com.au/profiles/horse/ugly-warrior,https://www.racenet.com.au/profiles/horse/ugly-warrior-nz,19/09/2014,1
140,NAMJONG PLUS,NZ,https://www.racenet.com.au/profiles/horse/namjong-plus,https://www.racenet.com.au/profiles/horse/namjong-plus-nz,12/11/2013,1
141,THOU SHALL SING,NZ,https://www.racenet.com.au/profiles/horse/thou-shall-sing,https://www.racenet.com.au/profiles/horse/thou-shall-sing-nz,14/10/2014,1
142,SPARKLING DRAGON,NZ,https://www.racenet.com.au/profiles/horse/sparkling-dragon,https://www.racenet.com.au/profiles/horse/sparkling-dragon-nz,11/9/2014,1
143,AMAZING STAR,NZ,https://www.racenet.com.au/profiles/horse/amazing-star,https://www.racenet.com.au/profiles/horse/amazing-star-nz,10/9/2014,1
144,EXPLOSIVE WITNESS,AUS,https://www.racenet.com.au/profiles/horse/explosive-witness,https://www.racenet.com.au/profiles/horse/explosive-witness-aus,8/9/2014,1
145,GUNNISON,AUS,https://www.racenet.com.au/profiles/horse/gunnison,https://www.racenet.com.au/profiles/horse/gunnison-aus,21/08/2014,1
146,NOBLE STEED,AUS,https://www.racenet.com.au/profiles/horse/noble-steed,https://www.racenet.com.au/profiles/horse/noble-steed-aus,4/10/2013,1
147,VERY SWEET ORANGE,AUS,https://www.racenet.com.au/profiles/horse/very-sweet-orange,https://www.racenet.com.au/profiles/horse/very-sweet-orange-aus,9/9/2014,1
148,FAITHFUL TRINITY,GER,https://www.racenet.com.au/profiles/horse/faithful-trinity,https://www.racenet.com.au/profiles/horse/faithful-trinity-ger,9/3/2014,1
149,HAR HAR HEART,AUS,https://www.racenet.com.au/profiles/horse/har-har-heart,https://www.racenet.com.au/profiles/horse/har-har-heart-aus,12/9/2013,1
150,ALL BEST FRIENDS,AUS,https://www.racenet.com.au/profiles/horse/all-best-friends,https://www.racenet.com.au/profiles/horse/all-best-friends-aus,15/08/2013,1
151,ELECTRIC LIGHTNING,AUS,https://www.racenet.com.au/profiles/horse/electric-lightning,https://www.racenet.com.au/profiles/horse/electric-lightning-aus,26/08/2013,1
152,RULE THEE,NZ,https://www.racenet.com.au/profiles/horse/rule-thee,https://www.racenet.com.au/profiles/horse/rule-thee-nz,,0
153,RIGHT HONOURABLE,IRE,https://www.racenet.com.au/profiles/horse/right-honourable,https://www.racenet.com.au/profiles/horse/right-honourable-ire,2/3/2014,1
154,MEGA HEART,AUS,https://www.racenet.com.au/profiles/horse/mega-heart,https://www.racenet.com.au/profiles/horse/mega-heart-aus,8/11/2012,1
155,PRETTY BAUHINIA,AUS,https://www.racenet.com.au/profiles/horse/pretty-bauhinia,https://www.racenet.com.au/profiles/horse/pretty-bauhinia-aus,,0
156,BULLISH GLORY,IRE,https://www.racenet.com.au/profiles/horse/bullish-glory,https://www.racenet.com.au/profiles/horse/bullish-glory-ire,,0
157,RED ELYSEES,GB,https://www.racenet.com.au/profiles/horse/red-elysees,https://www.racenet.com.au/profiles/horse/red-elysees-gb,18/02/2013,1
158,TOP SCORE,AUS,https://www.racenet.com.au/profiles/horse/top-score,https://www.racenet.com.au/profiles/horse/top-score-aus,3/8/2012,1
159,AMBITIOUS HEART,AUS,https://www.racenet.com.au/profiles/horse/ambitious-heart,https://www.racenet.com.au/profiles/horse/ambitious-heart-aus,13/09/2013,1
160,THUNDER STOMP,AUS,https://www.racenet.com.au/profiles/horse/thunder-stomp,https://www.racenet.com.au/profiles/horse/thunder-stomp-aus,,0
161,TRAVEL DATUK,IRE,https://www.racenet.com.au/profiles/horse/travel-datuk,https://www.racenet.com.au/profiles/horse/travel-datuk-ire,21/03/2013,1
162,HARRIER JET,AUS,https://www.racenet.com.au/profiles/horse/harrier-jet,https://www.racenet.com.au/profiles/horse/harrier-jet-aus,5/9/2011,1
163,NITRO EXPRESS,AUS,https://www.racenet.com.au/profiles/horse/nitro-express,https://www.racenet.com.au/profiles/horse/nitro-express-aus,28/04/2017,1
164,KIRAM,FR,https://www.racenet.com.au/profiles/horse/kiram,https://www.racenet.com.au/profiles/horse/kiram-fr,12/4/2011,1
165,MOGUL,GB,https://www.racenet.com.au/profiles/horse/mogul,https://www.racenet.com.au/profiles/horse/mogul-gb,19/08/2013,1
166,ROYAL JULIUS,IRE,https://www.racenet.com.au/profiles/horse/royal-julius,https://www.racenet.com.au/profiles/horse/royal-julius-ire,10/3/2013,1
167,MAGICAL,IRE,https://www.racenet.com.au/profiles/horse/magical,https://www.racenet.com.au/profiles/horse/magical-ire,18/05/2015,1
168,DANON PREMIUM,JPN,https://www.racenet.com.au/profiles/horse/danon-premium,https://www.racenet.com.au/profiles/horse/danon-premium-jpn,3/4/2015,1
169,SKALLETI,FR,https://www.racenet.com.au/profiles/horse/skalleti,https://www.racenet.com.au/profiles/horse/skalleti-fr,25/02/2015,1
170,ORDER OF AUSTRALIA,IRE,https://www.racenet.com.au/profiles/horse/order-of-australia,https://www.racenet.com.au/profiles/horse/order-of-australia-ire,18/02/2017,1
171,ROMANISED,IRE,https://www.racenet.com.au/profiles/horse/romanised,https://www.racenet.com.au/profiles/horse/romanised-ire,1/8/2015,1
172,TOWER OF LONDON,JPN,https://www.racenet.com.au/profiles/horse/tower-of-london,https://www.racenet.com.au/profiles/horse/tower-of-london-jpn,9/2/2015,1
173,CLASSIQUE LEGEND,AUS,https://www.racenet.com.au/profiles/horse/classique-legend,https://www.racenet.com.au/profiles/horse/classique-legend-aus,8/9/2015,1
174,MS ALLY,SAF,https://www.racenet.com.au/profiles/horse/ms-ally,https://www.racenet.com.au/profiles/horse/ms-ally-saf,,0
175,TSAR,GB,https://www.racenet.com.au/profiles/horse/tsar,https://www.racenet.com.au/profiles/horse/tsar-gb,23/04/2017,1
176,STOICISM,IRE,https://www.racenet.com.au/profiles/horse/stoicism,https://www.racenet.com.au/profiles/horse/stoicism-ire,31/01/2017,1
177,NORDIC WELLSTAR,AUS,https://www.racenet.com.au/profiles/horse/nordic-wellstar,https://www.racenet.com.au/profiles/horse/nordic-wellstar-aus,,0
