Horse_ID,Horse_Name,Horse_Code,State,Country,Age,Color,Sex,Import_type,Total_Stakes,Owner,Last_Rating,Sire,Dam,Dam_sire
59,INCANTO PREPARED,D009,Active,NZ,5,Bay , Gelding,PPG,"3,668,220",Wong Poh Weng,,Per Incanto,Prepared,Perfectly Ready
60,BEAUTY ANGEL,C541,Active,GB,5,Bay , Gelding,ISG,"3,021,240",Beauty Family Syndicate,,Dark Angel,Handana,Desert Style
61,HAPPILY FRIENDS,C533,Active,IRE,5,Bay , Gelding,ISG,"412,690","Bill Mok Yuen Bill, Yip Wing Kui, John Yuen Se Kit & Raymond Choy Wai Shek",,Requinto,Maraglen,Rock Of Gibraltar
62,WONDER BRAHMA,C525,Active,NZ,5,Bay / Brown , Gelding,ISG,"222,068",Derek Tam Lap Tak,,Darci Brahma,Myback,Dubawi
63,ROCKET HAMMER,C520,Retired,AUS,,Chestnut , Gelding,PPG,0,Bou Shing Ip & Lau Shuk Yee,16,Starcraft,Attire,Wild Again
64,URBAN DANCER,C512,Active,AUS,5,Bay , Gelding,PP,"60,000",Lelia Ho Tze Fun,,Statue Of Liberty,Miss Doopsy,Bite The Bullet
65,TOM'S STYLE,C509,Active,AUS,5,Bay , Gelding,PP,"145,750",Dr Thomas Chung Siu Po,,Hinchinbrook,Red Centre,Rubiton
66,LUCKY MISSILE,C501,Active,NZ,4,Bay , Gelding,PPG,"855,795",Barbarian Syndicate,,Rock 'N' Pop,Nicole Amy,Le Bec Fin
67,GO BALLISTIC,C493,Active,SAF,5,Bay , Gelding,PP,"500,655",David Hui Cheung Wing,,Duke Of Marmalade,Buffalo Dance,Sadler's Wells
68,ONE HAPPY STAR,C486,Active,AUS,5,Bay , Gelding,PPG,"375,000",Wu Kai Char,,Rocker,Whiner,Street Cry
69,NAMJONG SINGS,C480,Active,AUS,5,Brown , Gelding,PP,"2,111,000","Mr & Mrs Irons Sze, Sherman Sze Yung Lok and Eric Sze Chung Lok",,Your Song,Breezing Home,War Pass
