Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
170,W Hickst,,,,0%,1,,1,0%,,,1,,1,0%
171,T Mundry,,,,0%,1,,,0%,,,,,1,0%
172,Y O Wong,1841,135,308,7.33%,3139,206,425,6.56%,341,350,383,345,4980,6.85%
173,H J Brown,,,,0%,5,,,0%,,,,,5,0%
174,R Collet,,,,0%,11,,3,0%,,2,1,,11,0%
175,A Ngai,,,,0%,1,,1,0%,,,1,,1,0%
176,B W Hills,,,,0%,2,,1,0%,,1,,,2,0%
177,E Botti,,,,0%,1,,,0%,,,,,1,0%
178,J G Given,,,,0%,1,,,0%,,,,,1,0%
179,E Lellouche,,,,0%,13,2,3,15.38%,2,2,1,1,13,15.38%
180,M N Houdalakis,,,,0%,1,1,,100%,1,,,,1,100%
181,A W Noonan,,,,0%,1,,,0%,,,,,1,0%
182,E Libaud,,,,0%,4,2,1,50%,2,,1,1,4,50%
183,J-C Rouget,,,,0%,1,,,0%,,,,,1,0%
184,M A Jarvis,,,,0%,8,,2,0%,,2,,1,8,0%
185,M Hawkes,,,,0%,2,1,,50%,1,,,,2,50%
186,M Ito,,,,0%,4,,1,0%,,,1,1,4,0%
187,P C Kan,3819,355,779,9.3%,6193,451,995,7.28%,806,884,890,828,10012,8.05%
188,M R Channon,,,,0%,4,,,0%,,,,1,4,0%
189,J W Sadler,,,,0%,1,,,0%,,,,,1,0%
190,B Koriner,,,,0%,1,,,0%,,,,,1,0%
191,J S Moore,,,,0%,1,,,0%,,,,,1,0%
192,G Eurell,,,,0%,2,,1,0%,,,1,,2,0%
193,G M Begg,,,,0%,3,2,,66.67%,2,,,,3,66.67%
194,R Bastiman,,,,0%,1,,,0%,,,,,1,0%
195,J M P Eustace,,,,0%,1,,,0%,,,,,1,0%
196,M Kon,,,,0%,2,,,0%,,,,,2,0%
197,D Morton,,,,0%,2,,,0%,,,,,2,0%
198,B D A Cecil,,,,0%,3,,,0%,,,,1,3,0%
199,S Kojima,,,,0%,1,,,0%,,,,,1,0%
200,J Hawkes,,,,0%,2,,1,0%,,,1,,2,0%
201,C Marshall,,,,0%,2,,,0%,,,,,2,0%
202,D O'Brien,,,,0%,1,,,0%,,,,,1,0%
203,W Figge,,,,0%,1,,,0%,,,,,1,0%
204,K Prendergast,,,,0%,2,,,0%,,,,,2,0%
205,S Tarry,,,,0%,1,,,0%,,,,,1,0%
206,K Ikezoe,,,,0%,1,,,0%,,,,,1,0%
207,P Rau,,,,0%,3,,,0%,,,,,3,0%
208,B Smart,,,,0%,1,,,0%,,,,,1,0%
209,L K Laxon,,,,0%,8,1,,12.5%,1,,,,8,12.5%
210,J-M Beguigne,,,,0%,3,,,0%,,,,1,3,0%
211,R E Dutrow Jr,,,,0%,2,,,0%,,,,,2,0%
212,C Dollase,,,,0%,1,,,0%,,,,,1,0%
213,M Johnston,,,,0%,12,,2,0%,,1,1,,12,0%
214,R J Frankel,,,,0%,2,,,0%,,,,,2,0%
215,P Demercastel,,,,0%,1,,,0%,,,,,1,0%
216,N D Drysdale,,,,0%,7,,,0%,,,,1,7,0%
217,R Rohne,,,,0%,1,,,0%,,,,,1,0%
218,P Van de Poele,,,,0%,3,,1,0%,,,1,,3,0%
219,G A Nicholson,,,,0%,1,,,0%,,,,,1,0%
220,S L Leung,185,17,30,9.19%,562,56,97,9.96%,73,71,56,53,747,9.77%
221,K A Ryan,,,,0%,3,,,0%,,,,,3,0%
222,D L Freedman,,,,0%,4,,,0%,,,,,4,0%
223,M J Wallace,,,,0%,3,,1,0%,,,1,,3,0%
224,H Blume,,,,0%,3,,1,0%,,,1,,3,0%
225,N Meade,,,,0%,1,,,0%,,,,1,1,0%
226,B J Meehan,,,,0%,1,,,0%,,,,,1,0%
227,K Yamauchi,,,,0%,1,,,0%,,,,,1,0%
228,P Chapple-Hyam,173,9,24,5.2%,459,21,50,4.58%,30,33,41,46,632,4.75%
